Activo,Categoría de Activo,Descripción de Negocio,Fórmula / Lógica
Valor de Visita,Metric,Ingreso generado proporcionalmente por cada visita a las instalaciones,Total Revenue / SUM(visits_this_month)
Visitas por Miembro,Metric,Frecuencia promedio de uso de las instalaciones,SUM(visits_this_month) / Miembros Totales
Incidencias por Miembro,Metric,Promedio de quejas o fallas reportadas por usuario,SUM(incidents_reported) / Miembros Totales
Captación por Campañas,Metric,Porcentaje de nuevos miembros atraídos por una campaña activa,(Nuevos con Campaña / Total Nuevos) * 100
Nuevos Miembros con Campaña,Metric,Miembros nuevos captados específicamente a través de una promoción activa,COUNT(member_id) WHERE tenure_months == 1 AND campaign_active IS NOT NULL
Gap de Precio,Metric,Diferencia de precio del Plan Básico frente al competidor Low-Cost,AVG(price_paid [Basic] - competitor_lowcost_price)
Sensibilidad al Precio (Eslasticidad de Precio),Metric,Elasticidad que mide la variación de miembros activos frente a cambios en el precio promedio,Delta Miembros Activos (%) / Delta Precio Promedio (%)
Miembros en Riesgo,Metric,Porcentaje de miembros activos con baja asistencia (<= 5 visitas),(DISTINCT member_id WHERE visits_this_month <= 5 / Miembros Activos) * 100
Ventana de Evaluación Trimestral,Business Rule,"Define que el cálculo de KPIs estratégicos no es histórico, sino basado en el desempeño del último trimestre cerrado para reflejar la realidad actual del negocio",month dentro de los últimos 3 meses del dataset
Segmentación: Promotor,Business Rule,Miembro con alta lealtad y probabilidad de recomendación,satisfaction_survey >= 9
Segmentación: Detractor,Business Rule, Miembro insatisfecho con riesgo de cancelación y generar imagen negativa,satisfaction_survey <= 6
Segmentación: Neutro,Business Rule,Miembro satisfecho pero con riesgo de migrar a la competencia por precio,"satisfaction_survey IN (7, 8)"
Umbral de Riesgo por Abandono,Business Rule,"Identificación preventiva de miembros con baja vinculación física, con alta probabilidad de baja",visits_this_month <= 5 y status == 'active'
"Criterio de ""Miembro Zombie""",Business Rule,Identificación de socios que pagan pero tienen uso nulo absoluto (riesgo extremo),status == 'active' AND visits_this_month == 0
Atribución de Campaña,Business Rule,Criterio para asignar el éxito de una alta a los esfuerzos de marketing,tenure_months == 1 AND campaign_active IS NOT NULL
Regla de Upselling (PT),Business Rule,Indica el éxito en la venta de servicios de valor añadido sobre la cuota base,has_personal_trainer == True
Adopción Digital,Business Rule,Criterio para evaluar la digitalización de la comunidad FitLife,uses_app == True
Presión de Competencia,Business Rule,Alerta de mercado cuando el diferencial de precio supera el umbral crítico,price_paid [Basic] > competitor_lowcost_price
